fixed acidity,volatile acidity,citric acid,chlorides,total sulfur dioxide,sulphates,alcohol,quality
8.9,0.565,0.34,0.093,112,0.61,9.5,5
9.9,0.74,0.28,0.078,77,0.51,9.8,5
7.6,0.46,0.11,0.079,49,0.57,10,5
8.4,0.56,0.04,0.082,22,0.44,9.6,5
7.1,0.66,0,0.086,45,0.54,9.5,5
8.4,0.56,0.04,0.082,22,0.44,9.6,5
8.9,0.48,0.24,0.094,106,0.53,9.2,5
7.1,0.31,0.3,0.053,127,1.62,9.5,5
9,0.66,0.17,0.077,13,0.55,10.4,5
8.1,0.72,0.09,0.084,49,0.72,11.1,6
6.4,0.57,0.02,0.067,11,0.68,9.5,5
6.4,0.57,0.02,0.067,11,0.68,9.5,5
6.4,0.865,0.03,0.071,58,0.49,12.7,6
9.5,0.55,0.66,0.387,37,0.67,9.6,5
8.9,0.875,0.13,0.088,14,0.52,11.5,5
7.3,0.835,0.03,0.092,19,0.47,9.6,5
7,0.45,0.34,0.082,72,0.6,9.5,5
7.7,0.56,0.2,0.075,39,0.62,9.3,5
7.7,0.965,0.1,0.112,22,0.5,9.5,5
8.2,0.59,0,0.093,58,0.65,9.3,6
9,0.69,0,0.088,38,0.6,9.3,5
8.3,0.76,0.29,0.075,16,0.68,11.5,6
9.2,0.53,0.24,0.078,139,0.57,9.5,5
11.1,0.39,0.54,0.095,101,0.51,9.5,5
7.3,0.51,0.18,0.07,28,0.73,9.5,6
8.2,0.34,0.38,0.08,57,0.47,9,6
7.2,0.5,0.18,0.071,31,0.72,9.6,6
7.3,0.51,0.18,0.07,28,0.73,9.5,6
8.3,0.65,0.1,0.089,40,0.55,9.5,5
7.6,0.54,0.13,0.097,66,0.61,9.4,5
8.3,0.65,0.1,0.089,40,0.55,9.5,5
7.8,0.48,0.68,0.415,32,1.06,9.1,6
7.8,0.91,0.07,0.058,47,0.43,10.7,6
6.3,0.98,0.01,0.057,33,0.46,11.2,6
8.1,0.87,0,0.084,31,0.5,9.8,5
8.1,0.87,0,0.084,31,0.5,9.8,5
8.8,0.42,0.21,0.092,88,0.52,9.2,5
9,0.58,0.25,0.075,104,0.57,9.7,5
9.3,0.655,0.26,0.096,35,0.42,9.6,5
8.8,0.7,0,0.069,19,0.53,10,6
9.1,0.68,0.11,0.093,44,0.55,9.5,6
9.2,0.67,0.1,0.091,48,0.54,9.5,6
8.8,0.59,0.18,0.089,74,0.54,9.4,5
7.1,0.59,0.02,0.082,94,0.53,9.7,6
7.9,0.72,0.01,0.076,32,0.54,9.6,5
7.1,0.59,0.02,0.082,94,0.53,9.7,6
9.4,0.685,0.26,0.082,143,0.55,9.4,5
9.5,0.57,0.27,0.082,144,0.55,9.4,5
7.9,0.4,0.29,0.157,44,0.92,9.5,6
7.2,1,0,0.102,16,0.46,10,5
6.9,0.635,0.17,0.241,18,0.59,10.3,6
8.3,0.43,0.3,0.079,34,0.61,10.5,5
7.1,0.52,0.03,0.076,92,0.6,9.8,5
7,0.57,0,0.19,45,0.6,9.4,6
6.5,0.46,0.14,0.114,37,0.65,9.8,5
7.1,0.59,0.01,0.077,85,0.59,9.8,5
9.9,0.35,0.41,0.083,61,0.5,9.5,5
10,0.56,0.24,0.079,58,0.56,10.1,6
10,0.56,0.24,0.079,58,0.56,10.1,6
8.6,0.63,0.17,0.099,119,0.52,9.3,5
7.4,0.37,0.43,0.082,82,0.68,9.7,6
8.8,0.64,0.17,0.084,130,0.54,9.6,5
7.1,0.61,0.02,0.081,87,0.6,9.7,6
7.7,0.6,0,0.055,13,0.56,10.8,5
10.1,0.27,0.54,0.065,26,0.53,12.5,6
10.8,0.89,0.3,0.132,60,1.18,10.2,5
8.7,0.46,0.31,0.126,64,0.74,9.6,5
9.3,0.37,0.44,0.038,42,0.81,10.8,7
9.4,0.5,0.34,0.082,14,0.52,10.7,6
8.6,0.55,0.09,0.068,17,0.44,10,5
5.1,0.585,0,0.044,86,0.94,12.9,7
7.7,0.56,0.08,0.114,46,0.66,9.6,6
8.4,0.52,0.22,0.084,18,0.57,9.9,6
8.4,0.25,0.39,0.041,10,0.71,12.5,7
7.4,0.53,0.12,0.165,12,0.86,9.2,5
7.6,0.48,0.31,0.07,15,0.55,10.3,6
7.3,0.49,0.1,0.068,14,0.47,10.5,5
12.9,0.5,0.55,0.072,24,0.68,10.9,6
6.9,0.39,0.24,0.102,7,0.58,11.4,4
12.6,0.41,0.54,0.103,41,0.76,11.3,6
9.1,0.66,0.15,0.097,59,0.54,9.6,5
7,0.685,0,0.099,22,0.6,9.7,5
4.9,0.42,0,0.048,42,0.74,14,7
6.7,0.54,0.13,0.076,36,0.64,9.8,5
7.1,0.48,0.28,0.068,16,0.53,10.3,5
7.5,0.27,0.34,0.05,8,0.64,11,7
7.1,0.46,0.14,0.076,37,0.49,10.7,5
7.5,0.685,0.07,0.058,9,0.55,10.9,4
5.9,0.61,0.08,0.071,24,0.77,11.1,6
11.6,0.47,0.44,0.147,51,0.86,9.9,4
6.7,0.28,0.28,0.012,100,0.39,11.7,7
6.7,0.28,0.28,0.012,100,0.39,11.7,7
10.1,0.31,0.35,0.075,28,0.83,11.2,7
6.6,0.66,0,0.115,31,0.63,10.3,5
10.6,0.5,0.45,0.119,68,0.72,10.9,6
7.1,0.685,0.35,0.088,92,0.62,9.4,5
6.4,0.64,0.21,0.081,31,0.66,9.8,5
7.4,0.68,0.16,0.078,39,0.7,9.9,6
6.4,0.64,0.21,0.081,31,0.66,9.8,5
9.3,0.43,0.44,0.085,22,0.55,9.5,5
9.3,0.43,0.44,0.085,22,0.55,9.5,5
9.3,0.36,0.39,0.08,55,0.73,10.9,6
9.3,0.36,0.39,0.08,55,0.73,10.9,6
9.3,0.36,0.39,0.08,55,0.73,10.9,6
8.2,0.26,0.34,0.073,47,0.78,11.3,7
11.7,0.28,0.47,0.054,32,0.67,10.6,7
7.2,0.62,0.06,0.077,85,0.54,9.5,5
7.5,0.42,0.32,0.067,25,0.44,10.4,5
7.2,0.62,0.06,0.078,84,0.53,9.7,5
7.2,0.635,0.07,0.077,86,0.54,9.7,5
6.9,0.56,0.03,0.086,46,0.57,10.6,5
7.3,0.35,0.24,0.067,48,0.54,10,4
8.8,0.31,0.4,0.109,16,0.79,11.8,7
7.7,0.715,0.01,0.064,43,0.57,11.8,6
7.6,0.715,0,0.068,35,0.65,11.4,6
8.4,0.31,0.29,0.194,26,0.78,12,6
8.8,0.61,0.19,0.094,69,0.5,10,6
8.9,0.75,0.14,0.086,30,0.64,10.5,5
9,0.8,0.12,0.083,28,0.65,10.4,6
6.8,0.57,0,0.072,64,0.56,11.2,6
10.7,0.9,0.34,0.112,99,0.68,9.3,5
7.2,0.66,0.03,0.078,86,0.57,9.7,5
10.1,0.45,0.23,0.082,18,0.65,9.3,6
7.2,0.66,0.03,0.078,86,0.57,9.7,5
7.2,0.63,0.03,0.08,88,0.58,9.8,6
7.1,0.59,0.01,0.08,43,0.58,10.7,6
8.3,0.31,0.39,0.078,43,0.77,12.5,7
7.1,0.59,0.01,0.08,43,0.58,10.7,6
8.3,0.31,0.39,0.078,43,0.77,12.5,7
8.9,0.31,0.36,0.056,39,0.69,11.8,5
7.4,0.635,0.1,0.08,33,0.69,10.8,7
7.4,0.635,0.1,0.08,33,0.69,10.8,7
6.8,0.59,0.06,0.06,18,0.59,10.8,7
7.2,0.54,0.27,0.084,78,0.71,11,5
6.1,0.56,0,0.079,9,0.54,11.5,6
7.4,0.52,0.13,0.078,61,0.59,10.8,6
9.3,0.38,0.48,0.132,11,0.57,13.2,6
9.1,0.28,0.46,0.114,9,0.6,10.9,6
10,0.46,0.44,0.065,8,0.62,12.2,6
8.6,0.315,0.4,0.079,6,0.67,11.9,6
5.3,0.715,0.19,0.161,62,0.61,11,5
6.8,0.41,0.31,0.084,45,0.64,10.1,6
8.4,0.36,0.32,0.081,79,0.72,11,6
8.4,0.62,0.12,0.072,46,0.89,11.8,6
9.6,0.41,0.37,0.091,23,0.56,10.5,5
8.4,0.62,0.12,0.072,46,0.89,11.8,6
8.6,0.47,0.27,0.055,28,0.8,11.2,5
8.6,0.22,0.36,0.064,77,0.87,11,7
9.4,0.24,0.33,0.061,73,0.9,10.2,6
8.4,0.67,0.19,0.093,75,0.59,9.2,4
8.6,0.47,0.27,0.055,28,0.8,11.2,5
8.7,0.33,0.38,0.063,19,0.73,12,7
7.4,0.61,0.01,0.074,38,0.65,9.8,5
7.6,0.4,0.29,0.078,66,0.59,9.5,6
6.6,0.61,0.01,0.08,25,0.73,10.5,5
8.8,0.3,0.38,0.06,72,0.72,11.8,6
6.2,0.46,0.17,0.073,11,0.54,11.4,5
9.9,0.27,0.49,0.082,17,0.52,12.5,7
10.1,0.43,0.4,0.092,52,0.64,10,7
8.3,0.3,0.49,0.09,24,0.64,12.1,7
10.2,0.44,0.58,0.092,24,0.99,12,7
8.3,0.28,0.48,0.093,12,0.62,12.4,7
8.9,0.12,0.45,0.075,21,0.76,11.9,7
8.9,0.12,0.45,0.075,21,0.76,11.9,7
8.3,0.28,0.48,0.093,12,0.62,12.4,7
8.2,0.31,0.4,0.058,10,0.68,11.2,7
10.2,0.34,0.48,0.052,9,0.69,12.1,7
8.5,0.21,0.52,0.09,23,0.67,10.4,5
9,0.36,0.52,0.111,10,0.62,11.3,6
6.4,0.57,0.12,0.12,36,0.71,11.3,7
8.5,0.47,0.27,0.058,38,0.85,11.1,6
7.1,0.56,0.14,0.078,18,0.62,9.3,5
6.6,0.57,0.02,0.115,16,0.69,9.5,5
8.5,0.47,0.27,0.058,38,0.85,11.1,6
8.5,0.66,0.2,0.097,113,0.48,9.2,5
9,0.4,0.43,0.068,46,0.6,12.2,6
10.4,0.26,0.48,0.066,10,0.87,10.9,6
8.8,0.33,0.41,0.073,13,0.62,12.1,7
7.2,0.41,0.3,0.083,72,0.52,9.4,5
8.4,0.59,0.29,0.109,119,0.5,9.1,5
7,0.4,0.32,0.061,29,0.49,11.3,7
9.1,0.5,0.3,0.065,17,0.71,10.5,6
9.5,0.86,0.26,0.079,28,0.62,10,5
7.3,0.52,0.32,0.07,70,0.82,12.9,6
9.1,0.5,0.3,0.065,17,0.71,10.5,6
7.4,0.58,0,0.064,11,0.58,11.3,6
7.1,0.36,0.3,0.08,70,0.5,9.4,5
7.7,0.39,0.12,0.097,27,0.49,9.4,5
9.7,0.295,0.4,0.073,21,0.51,10.9,6
7.7,0.39,0.12,0.097,27,0.49,9.4,5
7.1,0.34,0.28,0.082,68,0.48,9.4,5
7.1,0.34,0.28,0.082,68,0.48,9.4,5
7.7,0.6,0.06,0.079,41,0.62,10.1,6
8.9,0.84,0.34,0.05,10,0.48,9.1,6
6.4,0.69,0,0.055,12,0.53,12.9,6
7.5,0.43,0.3,0.062,12,0.72,11.5,7
8.2,0.43,0.29,0.081,45,0.54,10.3,5
6.8,0.36,0.32,0.067,8,0.55,12.8,7
9.1,0.29,0.33,0.063,27,0.84,11.7,7
9.1,0.3,0.34,0.064,25,0.84,11.7,7
8.9,0.35,0.4,0.11,24,0.7,12,7
8.9,0.28,0.45,0.067,12,0.55,12.3,7
8.9,0.32,0.31,0.088,19,0.55,10.4,6
7.7,1.005,0.15,0.102,32,0.48,10,5
7.5,0.71,0,0.092,31,0.58,10,6
8,0.58,0.16,0.12,7,0.58,11.2,6
8.9,0.38,0.4,0.068,28,0.75,12.6,7
8,0.18,0.37,0.049,109,0.44,12.7,6
7,0.5,0.14,0.078,23,0.61,10.4,5
11.3,0.36,0.66,0.123,8,0.53,11.9,6
11.3,0.36,0.66,0.123,8,0.53,11.9,6
7,0.51,0.09,0.062,9,0.54,10.5,5
8.2,0.32,0.42,0.098,9,0.55,12.3,6
7.7,0.58,0.01,0.088,18,0.56,10.5,7
8.6,0.83,0,0.095,43,0.6,10.4,6
7.9,0.31,0.32,0.066,36,0.56,12.6,6
6.4,0.795,0,0.065,52,0.52,11.6,5
7.7,0.58,0.01,0.088,18,0.56,10.5,7
8.1,0.82,0,0.095,14,0.53,9.6,5
8.9,0.745,0.18,0.077,48,0.47,9.7,6
10.1,0.37,0.34,0.085,17,0.65,10.6,7
7.6,0.31,0.34,0.082,35,0.59,12.5,7
8.7,0.41,0.41,0.078,42,0.77,12.6,7
8.9,0.5,0.21,0.088,39,0.83,11.1,6
6.9,0.49,0.19,0.079,26,0.64,9.8,6
6.4,0.39,0.33,0.046,53,0.62,12.2,6
6.9,0.44,0,0.07,38,0.58,11.4,6
7.6,0.78,0,0.076,45,0.62,10.7,6
7.1,0.43,0.17,0.082,51,0.64,10.4,5
9.3,0.49,0.36,0.081,14,0.78,10.9,6
9.3,0.5,0.36,0.084,17,0.77,10.8,6
8.5,0.46,0.59,0.414,45,1.34,9.2,5
5.6,0.605,0.05,0.073,25,0.55,12.9,5
8.3,0.33,0.42,0.07,20,0.77,12.7,7
8.2,0.64,0.27,0.095,77,0.62,9.1,6
8.9,0.48,0.53,0.101,10,0.59,12.1,7
7.6,0.42,0.25,0.104,90,0.57,9.1,5
9.9,0.53,0.57,0.093,52,0.76,11.6,7
8.9,0.48,0.53,0.101,10,0.59,12.1,7
11.6,0.23,0.57,0.074,8,0.7,9.9,6
9.1,0.4,0.5,0.071,16,0.69,12.5,8
8,0.38,0.44,0.098,15,0.64,11.4,6
10.2,0.29,0.65,0.075,17,0.63,11.8,6
8.2,0.74,0.09,0.067,10,0.57,11.8,6
7.7,0.61,0.18,0.083,20,0.6,10.2,6
6.6,0.52,0.08,0.07,26,0.72,12.5,7
11.1,0.31,0.53,0.06,10,0.83,10.9,7
8,0.62,0.35,0.086,52,0.62,10.8,5
9.3,0.33,0.45,0.057,37,0.89,11.1,7
7.5,0.77,0.2,0.098,92,0.58,9.2,5
8,0.62,0.33,0.088,37,0.58,10.7,6
9.9,0.32,0.56,0.073,8,0.73,11.4,6
8.6,0.37,0.65,0.08,8,0.58,11,5
7.9,0.3,0.68,0.05,278,0.51,12.3,7
7.9,0.3,0.68,0.05,289,0.51,12.3,7
7.2,0.38,0.3,0.073,70,0.59,9.5,6
8.7,0.42,0.45,0.072,59,0.77,12,6
6.8,0.48,0.08,0.074,64,0.49,9.6,5
8.5,0.34,0.4,0.055,9,0.66,11.6,7
7.9,0.19,0.42,0.057,30,0.69,11.2,6
11.6,0.41,0.54,0.095,41,0.76,9.9,7
11.6,0.41,0.54,0.095,41,0.76,9.9,7
10,0.26,0.54,0.083,74,0.63,11.8,8
7.9,0.34,0.42,0.086,19,0.6,11.4,6
7,0.54,0.09,0.081,16,0.59,11.5,6
9.2,0.31,0.36,0.079,31,0.86,12,7
6.6,0.725,0.09,0.117,17,0.49,10.8,6
6.6,0.725,0.09,0.117,17,0.49,10.8,6
8.6,0.52,0.38,0.096,18,0.52,9.4,5
8.4,0.34,0.42,0.072,36,0.78,12.4,6
7.4,0.49,0.27,0.071,25,0.63,12,6
7.4,0.49,0.27,0.071,25,0.63,12,6
8,0.48,0.34,0.073,25,0.66,12.4,6
6.3,0.57,0.28,0.048,49,0.6,12.8,5
9.1,0.3,0.41,0.068,24,0.85,11.7,7
8.1,0.78,0.1,0.09,13,0.49,9.5,5
10.8,0.47,0.43,0.171,66,0.76,10.8,6
8.3,0.53,0,0.07,14,0.64,10,6
5.4,0.42,0.27,0.092,55,0.64,12.3,7
7.9,0.33,0.41,0.056,35,0.71,11,6
5,0.4,0.5,0.046,80,0.66,13.6,6
7,0.69,0.07,0.091,21,0.6,11.3,6
7,0.69,0.07,0.091,21,0.6,11.3,6
7,0.69,0.07,0.091,21,0.6,11.3,6
7.1,0.39,0.12,0.065,24,0.53,13.3,6
5.6,0.66,0,0.066,15,0.58,12.9,5
7.9,0.54,0.34,0.076,17,0.72,13.1,8
6.3,0.47,0,0.055,33,0.48,12.3,6
8.8,0.24,0.35,0.055,27,0.59,11.3,7
6.3,0.76,0,0.072,52,0.6,11.5,6
10,0.43,0.33,0.095,89,0.68,10,5
9.1,0.6,0,0.058,10,0.63,10.4,6
7.4,0.36,0.34,0.075,38,0.88,13.6,7
7.2,0.48,0.07,0.089,18,0.68,11.2,7
8.5,0.28,0.35,0.061,15,0.74,11.8,7
8,0.25,0.43,0.067,50,0.6,11.9,6
10.4,0.52,0.45,0.08,13,0.76,11.4,6
7.5,0.41,0.15,0.104,94,0.58,9.1,5
8.2,0.51,0.24,0.079,86,0.64,9.5,6
7.3,0.4,0.3,0.08,79,0.65,9.5,6
8.2,0.38,0.32,0.08,71,0.85,11,6
6.9,0.45,0.11,0.043,12,0.65,11.4,6
7,0.22,0.3,0.065,20,0.82,10,6
7.3,0.32,0.23,0.066,70,0.62,10.1,5
8.2,0.2,0.43,0.076,51,0.81,10.4,6
7.8,0.5,0.12,0.178,21,0.87,9.8,6
10,0.41,0.45,0.071,14,0.49,11.8,7
7.8,0.39,0.42,0.086,21,0.66,11.6,6
10,0.35,0.47,0.061,11,0.52,12,6
6.1,0.58,0.23,0.044,70,0.65,12.5,6
8.3,0.6,0.25,0.118,38,0.53,9.8,5
9.6,0.42,0.35,0.083,38,0.66,11.1,6
8.3,0.6,0.25,0.118,38,0.53,9.8,5
8.5,0.18,0.51,0.071,88,0.76,11.8,7
5.1,0.51,0.18,0.042,101,0.87,12.9,7
8.5,0.32,0.42,0.075,19,0.71,11.8,7
9,0.785,0.24,0.078,21,0.67,10,5
8.2,0.33,0.39,0.074,48,0.88,12.4,7
6.5,0.34,0.27,0.067,44,0.56,12,6
7.6,0.5,0.29,0.086,14,0.62,11.5,6
9.2,0.36,0.34,0.062,12,0.67,10.5,6
9.7,0.42,0.46,0.074,16,0.74,12.3,6
7.6,0.36,0.31,0.079,65,0.62,9.5,6
7.6,0.36,0.31,0.079,65,0.62,9.5,6
6.5,0.61,0,0.095,59,0.7,11.5,6
6.5,0.88,0.03,0.079,47,0.5,11.2,4
5.6,0.915,0,0.041,78,0.73,11.4,5
8.2,0.35,0.33,0.076,47,0.81,11,6
9.8,0.39,0.43,0.068,11,0.46,11.4,5
6.8,0.66,0.07,0.07,61,0.6,9.3,5
6.7,0.64,0.23,0.08,119,0.7,10.9,5
6.7,0.64,0.23,0.08,119,0.7,10.9,5
8.8,0.955,0.05,0.075,19,0.44,9.6,4
9.1,0.4,0.57,0.08,20,0.57,12.5,6
6.5,0.885,0,0.166,12,0.51,10.8,5
7.2,0.25,0.37,0.063,41,0.8,12.4,7
7,0.745,0.12,0.114,64,0.59,9.5,6
6.2,0.43,0.22,0.078,56,0.6,9.5,6
7.7,0.57,0.21,0.069,9,0.54,9.8,6
7.7,0.26,0.26,0.052,77,0.79,10.9,6
7.9,0.58,0.23,0.076,94,0.58,9.5,6
7.7,0.57,0.21,0.069,9,0.54,9.8,6
7.9,0.34,0.36,0.065,10,0.54,11.2,7
8.6,0.42,0.39,0.068,12,0.69,11.7,8
9.9,0.74,0.19,0.111,76,0.55,9.4,5
7.2,0.36,0.46,0.074,44,0.85,11,7
7.2,0.36,0.46,0.074,44,0.85,11,7
9.9,0.72,0.55,0.136,52,0.94,10,5
7.2,0.36,0.46,0.074,44,0.85,11,7
6.2,0.39,0.43,0.071,24,0.87,11.2,7
6.8,0.65,0.02,0.078,15,0.62,10.4,6
6.8,0.65,0.02,0.078,15,0.62,10.4,6
10.2,0.33,0.46,0.081,9,0.48,10.4,6
7.9,0.57,0.31,0.079,79,0.69,9.5,6
9,0.39,0.4,0.044,50,0.83,10.9,6
10.9,0.32,0.52,0.132,44,0.77,11.5,6
10.9,0.32,0.52,0.132,44,0.77,11.5,6
12.6,0.39,0.49,0.08,20,0.82,10.3,6
9.2,0.46,0.23,0.091,77,0.51,9.4,5
7.5,0.58,0.03,0.08,46,0.47,9.2,5
9,0.58,0.25,0.104,21,0.72,9.6,5
5.1,0.42,0,0.044,88,0.73,13.6,7
7.6,0.43,0.29,0.075,66,0.64,9.5,5
7.7,0.18,0.34,0.066,58,0.78,11.8,6
7.8,0.815,0.01,0.074,90,0.62,10.8,5
7.6,0.43,0.29,0.075,66,0.64,9.5,5
7.1,0.75,0.01,0.059,18,0.4,12.8,6
7.8,0.55,0,0.07,17,0.64,9.4,6
7.1,0.75,0.01,0.059,18,0.4,12.8,6
8.1,0.73,0,0.081,24,0.46,9.6,4
6.5,0.67,0,0.057,20,0.56,11.8,4
7.5,0.61,0.2,0.076,60,0.4,9.3,5
8.3,0.56,0.22,0.082,86,0.62,9.5,5
7.4,0.55,0.19,0.082,34,0.68,10.5,5
7.4,0.74,0.07,0.086,48,0.48,10,5
7.1,0.6,0.01,0.079,37,0.61,10.9,6
7.5,0.58,0.14,0.077,60,0.59,9.8,5
7.1,0.72,0,0.123,14,0.58,9.8,5
7.9,0.66,0,0.096,13,0.58,9.5,5
7.8,0.7,0.06,0.079,35,0.69,10.9,5
7.5,0.59,0.22,0.082,60,0.42,9.2,5
7,0.58,0.28,0.085,69,0.7,11,6
6.8,0.64,0,0.123,33,0.63,11.3,6
8.6,0.635,0.68,0.403,56,1.15,9.3,5
6.3,1.02,0,0.083,24,0.55,11.2,4
9.8,0.45,0.38,0.081,66,0.58,9.8,5
8.5,0.37,0.32,0.066,51,0.72,11.8,6
7.2,0.57,0.05,0.081,36,0.6,10.3,6
7.2,0.57,0.05,0.081,36,0.6,10.3,6
10.4,0.43,0.5,0.068,19,0.87,11.4,6
6.9,0.41,0.31,0.079,51,0.55,9.5,6
5,0.38,0.01,0.048,60,0.75,14,6
7.3,0.44,0.2,0.049,64,0.57,11.7,6
5.9,0.46,0,0.077,44,0.53,11.2,5
7.5,0.58,0.2,0.073,44,0.43,9.3,5
7.8,0.58,0.13,0.102,36,0.53,11.2,6
8,0.715,0.22,0.075,81,0.54,9.5,6
8.5,0.4,0.4,0.05,10,0.56,12,4
7,0.69,0,0.114,10,0.6,9.7,6
8,0.715,0.22,0.075,81,0.54,9.5,6
9.8,0.3,0.39,0.062,9,0.57,11.5,7
7.1,0.46,0.2,0.077,54,0.64,10.4,6
7.1,0.46,0.2,0.077,54,0.64,10.4,6
7.9,0.765,0,0.084,22,0.68,10.9,6
8.7,0.63,0.28,0.096,69,0.63,10.2,6
7,0.42,0.19,0.071,36,0.56,10.9,5
11.3,0.37,0.5,0.09,47,0.57,10.5,5
7,0.6,0.3,0.068,110,1.17,10.2,5
7,0.6,0.3,0.068,110,1.17,10.2,5
7.6,0.74,0,0.1,12,0.59,11,5
8.2,0.635,0.1,0.073,60,0.75,10.9,6
5.9,0.395,0.13,0.056,28,0.67,12.4,6
6.6,0.63,0,0.093,77.5,0.45,9.5,5
7.2,0.53,0.14,0.064,29,0.61,12.1,6
5.7,0.6,0,0.063,18,0.56,12.2,6
7.6,1.58,0,0.137,9,0.4,10.9,3
5.2,0.645,0,0.08,28,0.61,12.5,6
6.7,0.86,0.07,0.1,57,0.74,11.7,6
9.1,0.37,0.32,0.064,15,0.8,11.2,6
7.6,0.79,0.21,0.087,68,0.44,9.2,5
7.5,0.61,0.26,0.073,88,0.53,9.8,5
9.7,0.69,0.32,0.088,91,0.62,10.1,5
7,0.62,0.1,0.071,63,0.61,9.2,5
6.5,0.51,0.15,0.064,27,0.59,12.8,6
8,1.18,0.21,0.083,41,0.47,10.5,5
7.5,0.63,0.27,0.083,91,0.58,9.8,6
5.4,0.74,0,0.041,46,0.59,12.5,6
9.1,0.76,0.68,0.414,64,1.33,9.1,6
5,0.74,0,0.041,46,0.59,12.5,6
9.1,0.34,0.42,0.058,18,0.55,11.4,5
6.7,0.46,0.24,0.077,34,0.6,10.6,6
6.7,0.46,0.24,0.077,34,0.6,10.6,6
6.7,0.46,0.24,0.077,34,0.6,10.6,6
6.7,0.46,0.24,0.077,34,0.6,10.6,6
6.5,0.52,0.11,0.073,38,0.52,9.3,5
7.4,0.6,0.26,0.083,91,0.56,9.8,6
7.4,0.6,0.26,0.083,91,0.56,9.8,6
7.8,0.87,0.26,0.107,67,0.46,9.2,5
8.4,0.39,0.1,0.075,25,0.43,9.7,6
9.1,0.775,0.22,0.079,48,0.51,9.6,5
7.2,0.835,0,0.166,11,0.52,10,5
6.6,0.58,0.02,0.069,40,0.66,12.6,6
6,0.5,0,0.057,26,0.45,9.5,5
6,0.5,0,0.057,26,0.45,9.5,5
6,0.5,0,0.057,26,0.45,9.5,5
7.5,0.51,0.02,0.084,31,0.54,10.5,6
7.5,0.51,0.02,0.084,31,0.54,10.5,6
7.5,0.51,0.02,0.084,31,0.54,10.5,6
7.5,0.51,0.02,0.084,31,0.54,10.5,6
11.5,0.42,0.48,0.077,20,0.53,11,5
8.2,0.44,0.24,0.063,28,0.53,10.2,6
6.1,0.59,0.01,0.056,13,0.56,11.4,5
7.2,0.655,0.03,0.078,12,0.39,9.5,5
7.2,0.62,0.01,0.065,46,0.51,11.8,6
7.6,0.645,0.03,0.086,57,0.46,10.3,5
6.1,0.32,0.25,0.086,32,0.44,10.1,5
6.1,0.34,0.25,0.084,28,0.44,10.1,5
7.3,0.43,0.24,0.078,67,0.59,11.1,6
7.4,0.64,0.17,0.168,98,0.5,9.5,5
11.6,0.475,0.4,0.091,28,0.65,10.03333333,6
8.3,0.85,0.14,0.093,54,0.54,10.1,5
11.6,0.475,0.4,0.091,28,0.65,10.03333333,6
7.2,0.605,0.02,0.096,31,0.53,11.8,6
7.3,0.74,0.08,0.094,45,0.5,9.8,5
6.9,0.54,0.3,0.088,105,1.18,10.5,6
8,0.77,0.32,0.079,74,0.5,9.8,6
8.7,0.78,0.51,0.415,66,1.17,9.2,5
7.5,0.58,0.56,0.153,14,1.03,11.6,6
8.7,0.78,0.51,0.415,66,1.17,9.2,5
8.2,0.885,0.2,0.086,31,0.46,10,5
7.2,0.45,0.15,0.078,28,0.51,9.9,6
7.5,0.57,0.02,0.077,35,0.62,10.8,6
7.5,0.57,0.02,0.077,35,0.62,10.8,6
8,0.6,0.22,0.08,105,0.49,9.9,5
8,0.6,0.22,0.08,105,0.49,9.9,5
7.1,0.755,0.15,0.107,84,0.5,9.5,5
8,0.81,0.25,0.076,85,0.42,9.2,5
7.4,0.64,0.07,0.1,23,0.58,9.6,5
6.6,0.64,0.31,0.083,49,0.68,10.3,5
6,0.49,0,0.068,33,0.59,12.5,6
8,0.64,0.22,0.094,33,0.58,11,5
7.1,0.62,0.06,0.07,12,0.48,9.8,5
8,0.52,0.25,0.078,59,0.48,10.2,5
8.6,0.685,0.1,0.092,12,0.65,9.55,6
8.7,0.675,0.1,0.09,11,0.65,9.55,5
7.3,0.59,0.26,0.08,104,0.52,9.9,5
7.2,0.67,0,0.068,24,0.72,11.1,6
7.9,0.69,0.21,0.08,141,0.51,9.9,5
7.6,0.3,0.42,0.052,24,0.82,11.9,6
7.2,0.33,0.33,0.061,13,1.1,10,8
8,0.5,0.39,0.082,46,0.62,10.7,6
8.2,0.24,0.34,0.062,22,0.94,10.9,6
6,0.51,0,0.064,54,0.93,10.7,6
8.1,0.29,0.36,0.048,53,1.01,12.4,7
6,0.51,0,0.064,54,0.93,10.7,6
6.6,0.96,0,0.082,16,0.44,11.9,6
6.4,0.47,0.4,0.071,19,0.73,10.6,6
8.2,0.24,0.34,0.062,22,0.94,10.9,6
9.9,0.57,0.25,0.104,89,0.9,10.1,5
10,0.32,0.59,0.077,15,0.78,9.6,5
6.2,0.58,0,0.065,18,0.84,9.4,5
10,0.32,0.59,0.077,15,0.78,9.6,5
7.3,0.34,0.33,0.064,37,0.77,12.1,7
7.8,0.53,0.01,0.077,19,0.46,9.8,5
7.7,0.64,0.21,0.077,133,0.45,9.9,5
7.8,0.53,0.01,0.077,19,0.46,9.8,5
7.5,0.4,0.18,0.079,58,0.58,9.4,5
7,0.54,0,0.079,55,0.84,11.4,6
6.4,0.53,0.09,0.123,31,0.67,11,4
7.6,0.41,0.33,0.078,23,0.58,11.2,5
